Category,Name,Price,Source,Purpose
Airframe/Hardware,Totalboat Tabletop Epoxy,$0.00,Already Have,Applying Fiberglass Sleeving 
,"3"" Med Fiberglass Sleeving 12ft",$32.63,https://sollercompositesllc.com/product/remnants/,Fiberglass sleeving for airframe sleeving. 12ft due to needing 2 layers along a 5ft rocket + room for error
,"3"" Thin Wall Cardboard Tubing",$28.34,https://www.apogeerockets.com/Building_Supplies/Body_Tubes/Low_Power_Tubes/74mm_x_18_Body_Tube_Thin_Wall_3_tube,Main Airframe Material
,2 Part Epoxy Glue,$4.15,https://a.aliexpress.com/_mtVei9r,Structural adhesive for non-laminating applications
,"1/4"" Plywood",$0.00,Already Have,Bulkheads on Avionics Bay
,M6 Lock Nuts,$3.44,https://a.aliexpress.com/_mq77O0H,Avionics Bay Structure
,PA6-GF Filament,$0.00,Sunlu,All Printed Parts - Provided via my Sponsorship Deal
,M8 Screws,$0.00,Aleady Have,Black Powder Charge Containment
,M6 Threaded Rod,$5.32,https://a.aliexpress.com/_m044eG5,Avionics Bay Structure
,M2 Shear Pins,$1.67,https://www.aliexpress.us/item/3256807139253673.html,Hold Stages Together until Separation
Category,Name,Price,Source,Purpose
,Featherweight Blue Jay Altimeter,$0.00,Purchasing Myself,Dual Deploy Altimeter
Electronics,RRC2+ Altimeter,$54.95,https://www.missileworks.com/store/#!/RRC2-Altimeter/p/28645468/category=6735554,Dual Deploy Altimeter
,Particle Boron,$0.00,Already Have,Find Rocket 
,Adafruit Featherwing Ultimate GPS,$0.00,Already Have,Find Rocket 
,1s 600 mah Lipo Battery,$0.00,Already Have,Power Electronics
,Knockoff Wago Lever Connectors,$3.20,https://a.aliexpress.com/_mPQDoi1,Black Powder Charge Power 
Category,Name,Price,Source,Purpose
Recovery,"14"" Drogue Parachute",$8.50,https://wildmanrocketry.com/products/par18,"Initial Parachute, deployed at Apogee"
,"58"" Main Parachute",$36.00,https://wildmanrocketry.com/products/par58,"Main Parachute, deployed close to ground"
,"2x 3/8"" 15 ft Nylon Shock Cords",$28.90,https://locprecision.com/collections/model-rocket-recovery/products/shock-cords?variant=39778657861823,Attaches stages together and to parachutes
,"5/8"" Y Harness",$9.15,https://locprecision.com/products/y-harness?variant=39778648752319,Attaches shock cord to fin can/motor mount (lower airframe section)
,4x M6 Quick Links,$8.28,https://a.aliexpress.com/_mO0t5v7,Connect shock cord to hardware or parachutes
,M6 U Bolts,$2.41,ttps://a.aliexpress.com/_mrHpLQz,Parachute/Shock Cord Attachment
,M6 Eye Bolts,$9.51,https://a.aliexpress.com/_mtRW3FR,Parachute/Shock Cord Attachment
,Black Powder,$0.00,N/A,Charges - Purchase at later date with my own funds
,M8 Coupling Nuts,$7.14,https://a.aliexpress.com/_mscItpT,Black Powder Charge Containment
,2x 12x12 Nomex Recovery Wadding,$17.90,https://wildmanrocketry.com/collections/nomex/products/fcp12x12,Parachute Protection from Charges
,E Matches,$0.00,Purchasing Myself,Parachute Deployment/Stage Seperation Charges
,,,,
Motor ,Aerotech i280 or i500,$0.00,Local Vendor,The Engine. Will have to pay this myself on the day of launch
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,
Item Total (No tax or shipping),,$261.49,,
,,,,
Below Totals contain Tax and Shipping for Blueprint Orders - These are Raw Cart Values,,,,
,,,,
Wildman Total,$75.40,,,
Aliexpress Total ,$44.58,,,
LOC Total,$48.68,,,
Soller Total,$42.59,,,
Missileworks Total,$66.25,,,
Apogee Total,$40.55,,,
,,,,
Overall True Grant Total,$318.05,,,
